form	kind	std	norm	mean_mode	proj	opt	regime	seed	acc	probe	mabs	g_h0	g_h1	g_out	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
none	none	-	0	-	-	adam	normal	42	0.897549	nan	0	0	0	0	478410	0	0	3144000	1	1	1	0
temp	vec_x	0	0	ema	dead	adam	normal	42	0.897549	0.9332	0.482527	0	0	0	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	0	1	ema	dead	adam	normal	42	0.897549	0.2493	23.5205	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vecproj	0	0	ema	dead	adam	normal	42	0.897549	0.6847	0.688784	0	0	0	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	0	1	ema	dead	adam	normal	42	0.897549	0.2421	4.83214	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vec_x	1	0	ema	dead	adam	normal	42	0.897549	0.9332	1.64242	0	0	0	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	1	1	ema	dead	adam	normal	42	0.897549	0.2493	0.860537	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vecproj	1	0	ema	dead	adam	normal	42	0.897549	0.6847	0.826793	0	0	0	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	1	ema	dead	adam	normal	42	0.897549	0.2421	0.833643	0	0	0	478410	1	0	3144000	1	1	1	0
slope	vec_x	0	0	ema	dead	adam	normal	42	0.897549	0.9332	0.482527	0	0	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	0	1	ema	dead	adam	normal	42	0.897549	0.2493	23.5205	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	0	ema	dead	adam	normal	42	0.897549	0.6847	0.688784	0	0	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	0	1	ema	dead	adam	normal	42	0.897549	0.2421	4.83214	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vec_x	1	0	ema	dead	adam	normal	42	0.897549	0.9332	1.64242	0	0	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	1	ema	dead	adam	normal	42	0.897549	0.2493	0.860537	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	0	ema	dead	adam	normal	42	0.897549	0.6847	0.826793	0	0	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	1	ema	dead	adam	normal	42	0.897549	0.2421	0.833643	0	0	0	478410	2	0	3144000	1	1	1	0
temp	vec_x	0	0	ema	learned	adam	normal	42	0.891818	0.9332	0.482527	0	0	0.465421	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	0	0	ema	random	adam	normal	42	0.829569	0.9332	0.482527	0	0	14.0403	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	0	0	cumulative	learned	adam	normal	42	0.895328	0.9333	0.489212	0	0	0.365674	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	0	0	cumulative	random	adam	normal	42	0.793527	0.9333	0.489212	0	0	11.404	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	0	0	trueavg	learned	adam	normal	42	0.900663	0.9333	0.48741	0	0	0.263963	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	0	0	trueavg	random	adam	normal	42	0.831331	0.9333	0.48741	0	0	10.8136	478410	784	0.0016	3144000	1	1	1	0
