regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	step	classil	erown	er	-	0	42	test	0.903365	0.0809186	nan	0	0	0	0.903365	478410	0	0	3144000	1	1	1	0
normal	step	taskil	erown	er	-	0	42	test	0.994133	0.00306472	nan	0	0	0	0.994133	478410	0	0	3144000	1	1	1	0
normal	step	classil	erown	taskid	global	1e-07	42	val	0.894468	0.0903983	0.211035	5.99623e-05	5.99623e-05	5.99623e-05	0.894468	478410	5	0	3144000	3	2	1	0
normal	step	classil	erown	taskid	global	1e-06	42	val	0.881317	0.107216	0.211035	0.000270486	0.000270486	0.000270486	0.881317	478410	5	0	3144000	3	2	1	0
normal	step	classil	erown	taskid	global	1e-05	42	val	0.846599	0.142616	0.211035	0.00142229	0.00142229	0.00142229	0.846599	478410	5	0	3144000	3	2	1	0
normal	step	classil	erown	taskid	global	0.0001	42	val	0.895283	0.0887163	0.211035	4.81009e-05	4.81009e-05	4.81009e-05	0.895283	478410	5	0	3144000	3	2	1	0
normal	step	classil	erown	taskid	global	0.001	42	val	0.108703	0.696444	0.211035	0.046986	0.046986	0.046986	0.108703	478410	5	0	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	global	1e-07	42	val	0.52067	0.0338109	0.211035	0.000144124	0.000144124	0.000144124	0.52067	478410	5	0	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	global	1e-06	42	val	0.358146	0.0045287	0.211035	0.00014025	0.00014025	0.00014025	0.358146	478410	5	0	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	global	1e-05	42	val	0.471995	0.0342958	0.211035	0.0013063	0.0013063	0.0013063	0.471995	478410	5	0	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	global	0.0001	42	val	0.092733	0.0630242	0.211035	nan	nan	nan	0.092733	478410	5	0	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	global	0.001	42	val	0.108703	0.413659	0.211035	0.130973	0.130973	0.130973	0.108703	478410	5	0	3144000	3	2	1	0
normal	step	taskil	erown	taskid	global	1e-07	42	val	0.991899	0.00301968	0.211035	5.78165e-05	5.78165e-05	5.78165e-05	0.991899	478410	5	0	3144000	3	2	1	0
normal	step	taskil	erown	taskid	global	1e-06	42	val	0.993949	0.00217223	0.211035	7.96318e-05	7.96318e-05	7.96318e-05	0.993949	478410	5	0	3144000	3	2	1	0
normal	step	taskil	erown	taskid	global	1e-05	42	val	0.993091	0.00184882	0.211035	0.000324726	0.000324726	0.000324726	0.993091	478410	5	0	3144000	3	2	1	0
normal	step	taskil	erown	taskid	global	0.0001	42	val	0.982104	0.0109898	0.211035	0.00158405	0.00158405	0.00158405	0.982104	478410	5	0	3144000	3	2	1	0
normal	step	taskil	erown	taskid	global	0.001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	5	0	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	global	1e-07	42	val	0.977575	0.00573494	0.211035	7.84397e-05	7.84397e-05	7.84397e-05	0.977575	478410	5	0	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	global	1e-06	42	val	0.980196	0.00593627	0.211035	0.000228107	0.000228107	0.000228107	0.980196	478410	5	0	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	global	1e-05	42	val	0.985103	0.00374169	0.211035	0.00118339	0.00118339	0.00118339	0.985103	478410	5	0	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	global	0.0001	42	val	0.959113	0.0228112	0.211035	0.0134243	0.0134243	0.0134243	0.959113	478410	5	0	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	global	0.001	42	val	0.522361	0	0.211035	0.124094	0.124094	0.124094	0.522361	478410	5	0	3144000	3	2	1	0
normal	step	classil	erown	taskid	neuron	1e-07	42	val	0.895025	0.0896723	0.211035	3.49128e-05	3.62554e-05	3.49283e-05	0.895025	478410	4050	0.0085	3144000	3	2	1	0
normal	step	classil	erown	taskid	neuron	1e-06	42	val	0.887638	0.100895	0.211035	0.000168048	0.000175148	0.000212049	0.887638	478410	4050	0.0085	3144000	3	2	1	0
