form	kind	std	norm	mean_mode	proj	opt	regime	seed	acc	probe	mabs	g_h0	g_h1	g_out	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
none	none	-	0	-	-	adam	normal	42	0.897549	nan	0	0	0	0	478410	0	0	3144000	1	1	1	0
temp	vec_x	0	0	ema	dead	adam	normal	42	0.897549	0.9332	0.482527	0	0	0	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	0	1	ema	dead	adam	normal	42	0.897549	0.2493	23.5205	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vecproj	0	0	ema	dead	adam	normal	42	0.897549	0.6847	0.688784	0	0	0	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	0	1	ema	dead	adam	normal	42	0.897549	0.2421	4.83214	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vec_x	1	0	ema	dead	adam	normal	42	0.897549	0.9332	1.64242	0	0	0	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	1	1	ema	dead	adam	normal	42	0.897549	0.2493	0.860537	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vecproj	1	0	ema	dead	adam	normal	42	0.897549	0.6847	0.826793	0	0	0	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	1	ema	dead	adam	normal	42	0.897549	0.2421	0.833643	0	0	0	478410	1	0	3144000	1	1	1	0
slope	vec_x	0	0	ema	dead	adam	normal	42	0.897549	0.9332	0.482527	0	0	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	0	1	ema	dead	adam	normal	42	0.897549	0.2493	23.5205	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	0	ema	dead	adam	normal	42	0.897549	0.6847	0.688784	0	0	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	0	1	ema	dead	adam	normal	42	0.897549	0.2421	4.83214	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vec_x	1	0	ema	dead	adam	normal	42	0.897549	0.9332	1.64242	0	0	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	1	ema	dead	adam	normal	42	0.897549	0.2493	0.860537	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	0	ema	dead	adam	normal	42	0.897549	0.6847	0.826793	0	0	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	1	ema	dead	adam	normal	42	0.897549	0.2421	0.833643	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vec_x	0	0	ema	learned	adam	normal	42	0.894771	0.9332	0.482527	0.218037	0.212796	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	0	0	ema	random	adam	normal	42	0.562667	0.9332	0.482527	14.0403	18.1443	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	0	0	cumulative	learned	adam	normal	42	0.893997	0.9333	0.489212	0.27849	0.264114	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	0	0	cumulative	random	adam	normal	42	0.428481	0.9333	0.489212	11.404	12.0387	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	0	0	trueavg	learned	adam	normal	42	0.903029	0.9333	0.48741	0.149783	0.150361	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	0	0	trueavg	random	adam	normal	42	0.483342	0.9333	0.48741	10.8136	14.3197	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	0	0	ema+trueavg	learned	adam	normal	42	0.894685	0.9333	0.48741	0.183481	0.178053	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	0	0	ema+trueavg	random	adam	normal	42	0.544114	0.9333	0.48741	10.8136	14.3197	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	0	ema	learned	adam	normal	42	0.347922	0.9332	1.64242	inf	inf	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	0	ema	random	adam	normal	42	0.331006	0.9332	1.64242	inf	inf	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	0	cumulative	learned	adam	normal	42	0.466336	0.9332	1.65864	inf	inf	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	0	cumulative	random	adam	normal	42	0.242869	0.9332	1.65864	inf	inf	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	0	trueavg	learned	adam	normal	42	0.125188	0.9336	2.87963	inf	inf	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	0	trueavg	random	adam	normal	42	0.0926714	0.9336	2.87963	inf	inf	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	0	ema+trueavg	learned	adam	normal	42	0.447187	0.9335	2.87841	inf	inf	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	0	ema+trueavg	random	adam	normal	42	0.0938447	0.9335	2.87841	inf	inf	0	478410	1568	0.0033	3144000	1	1	1	0
